x,ABP
0,91.505
.02,90.746
.04,90.006
.060000000000000005,89.28
.08,88.569
.1,87.874
.12000000000000001,92.824
.13999999999999999,102.734
.16,110.937
.18,116.627
.2,119.282
.22,118.548
.24000000000000002,114.368
.26,107.188
.27999999999999997,105.203
.3,103.805
.32,102.248
.34,100.784
.36,99.573
.38,98.595
.4,97.734
.42000000000000004,96.893
.44,96.035
.45999999999999996,95.169
.48000000000000004,94.323
.5,93.511
.52,92.731
.54,91.976
.5599999999999999,91.237
.5800000000000001,90.512
.6,89.802
.62,89.106
.64,88.427
.66,87.764
.68,87.115
.7,86.479
.72,85.856
.7400000000000001,85.245
.76,84.645
.78,84.057
.8,83.481
.82,82.914
.8400000000000001,82.358
.8600000000000001,81.812
.88,82.446
.9,92.771
.9199999999999999,103.211
.9400000000000001,111.575
.9600000000000001,117.251
.98,119.719
1,118.714
1.02,114.277
1.04,106.741
1.06,104.394
1.08,102.932
1.1,101.342
1.1199999999999999,99.862
1.1400000000000001,98.643
1.1600000000000001,97.661
1.18,96.8
1.2,95.961
1.22,95.106
1.24,94.245
1.26,93.403
1.28,92.594
1.3,91.819
1.32,91.069
1.34,90.335
1.36,89.616
1.3800000000000001,88.911
1.4,88.221
1.4200000000000002,87.547
1.44,86.89
1.46,86.246
1.4800000000000002,85.616
1.5,84.998
1.52,84.393
1.54,83.8
1.56,83.218
1.5800000000000003,82.647
1.6,82.087
1.62,81.536
1.64,80.996
1.6600000000000001,82.41
1.6800000000000002,93.181
1.7,103.601
1.7200000000000002,111.897
1.74,117.463
1.76,119.789
1.7800000000000002,118.631
1.8,114.051
1.82,106.472
1.8399999999999999,104.212
1.86,102.73
1.8800000000000001,101.13
1.9,99.647
1.9200000000000002,98.429
1.94,97.446
1.96,96.582
1.9800000000000002,95.738
2,94.878
2.02,94.013
2.04,93.168
2.06,92.358
2.08,91.581
2.1,90.828
2.12,90.093
2.14,89.371
2.16,88.664
2.18,87.974
2.2,87.299
2.22,86.64
2.2399999999999998,85.996
2.2600000000000002,85.365
2.2800000000000002,84.747
2.3,84.142
2.3200000000000003,83.548
2.34,82.966
2.36,82.395
2.3800000000000003,81.835
2.4,81.285
2.42,80.745
2.44,82.666
2.46,93.611
2.48,103.974
2.5,112.183
2.52,117.632
2.54,119.821
2.56,118.522
2.58,113.81
2.6,106.225
2.62,104.113
2.64,102.62
2.66,101.015
2.68,99.537
2.7,98.326
2.72,97.347
2.7399999999999998,96.483
2.7600000000000002,95.636
2.78,94.773
2.8,93.907
2.8200000000000003,93.061
2.8400000000000003,92.251
2.8600000000000003,91.473
2.88,90.72
2.9,89.984
2.92,89.262
2.9400000000000004,88.555
2.9600000000000004,87.863
2.98,87.188
3,86.529
3.02,85.885
3.04,85.254
3.0600000000000005,84.636
3.08,84.03
3.1,83.437
3.12,82.855
3.14,82.284
3.1600000000000006,81.724
3.1799999999999997,81.174
3.2,80.634
3.22,82.997
3.24,94.044
3.2600000000000002,104.341
3.28,112.456
3.3,117.787
3.3200000000000003,119.841
3.3400000000000003,118.404
3.3600000000000003,113.561
3.38,106.027
3.4,104.04
3.42,102.538
3.4400000000000004,100.932
3.4600000000000004,99.461
3.48,98.259
3.5,97.285
3.52,96.422
3.54,95.574
3.5600000000000005,94.709
3.58,93.842
3.6,92.998
3.62,92.187
3.64,91.41
3.6600000000000006,90.657
3.6799999999999997,89.921
3.7,89.199
3.72,88.492
3.74,87.8
3.7600000000000002,87.126
3.78,86.467
3.8,85.822
3.8200000000000003,85.192
3.8400000000000003,84.574
3.8600000000000003,83.968
3.88,83.375
3.9,82.793
3.92,82.222
3.9400000000000004,81.662
3.9600000000000004,81.112
3.98,80.572
4,83.362
4.0200000000000005,94.477
4.04,104.703
4.0600000000000005,112.722
4.08,117.933
4.1,119.852
4.12,118.279
4.140000000000001,113.308
4.16,105.862
4.18,103.977
4.2,102.467
4.22,100.861
4.24,99.399
4.260000000000001,98.206
4.28,97.238
4.3,96.376
4.32,95.527
4.34,94.661
4.36,93.794
4.38,92.95
4.4,92.141
4.42,91.364
4.44,90.612
4.46,89.876
4.4799999999999995,89.154
4.5,88.447
4.5200000000000005,87.756
4.54,87.081
4.5600000000000005,86.423
4.58,85.779
4.6,85.148
4.62,84.53
4.640000000000001,83.925
4.66,83.332
4.68,82.75
4.7,82.18
4.72,81.62
4.74,81.07
4.760000000000001,80.531
4.78,83.736
4.8,94.907
4.82,105.061
4.84,112.982
4.86,118.073
4.88,119.858
4.9,118.148
4.92,113.049
4.94,105.701
4.96,103.915
4.9799999999999995,102.398
5,100.792
5.0200000000000005,99.339
5.04,98.156
5.0600000000000005,97.194
5.08,96.334
5.1,95.484
5.12,94.618
5.140000000000001,93.751
5.16,92.908
5.18,92.1
5.2,91.324
5.22,90.572
5.24,89.836
5.260000000000001,89.114
5.28,88.408
5.3,87.717
5.32,87.043
5.34,86.385
5.36,85.742
5.38,85.111
5.4,84.494
5.42,83.889
5.44,83.296
5.46,82.715
5.4799999999999995,82.145
5.5,81.585
5.5200000000000005,81.036
5.54,80.496
5.56,84.138
5.58,95.337
5.6,105.416
5.620000000000001,113.239
5.640000000000001,118.208
5.66,119.857
5.680000000000001,118.012
5.7,112.785
5.720000000000001,105.576
5.74,103.858
5.76,102.334
5.78,100.73
5.8,99.285
5.820000000000001,98.112
5.84,97.156
5.859999999999999,96.297
5.880000000000001,95.447
5.9,94.58
5.920000000000001,93.713
5.94,92.871
5.96,92.064
5.98,91.289
6,90.538
6.0200000000000005,89.802
6.04,89.081
6.06,88.375
6.08,87.685
6.1,87.012
6.120000000000001,86.354
6.140000000000001,85.711
6.16,85.081
6.180000000000001,84.464
6.2,83.859
6.220000000000001,83.266
6.24,82.685
6.26,82.115
6.28,81.556
6.3,81.007
6.320000000000001,80.468
6.34,84.538
6.359999999999999,95.763
6.380000000000001,105.767
6.4,113.49
6.420000000000001,118.337
6.44,119.851
6.46,117.87
6.48,112.517
6.5,105.456
6.5200000000000005,103.8
6.54,102.268
6.56,100.666
6.58,99.231
6.6,98.068
6.620000000000001,97.118
6.640000000000001,96.261
6.66,95.409
6.680000000000001,94.542
6.7,93.676
6.720000000000001,92.835
6.74,92.029
6.76,91.255
6.78,90.504
6.8,89.769
6.820000000000001,89.049
6.84,88.343
6.859999999999999,87.653
6.880000000000001,86.981
6.9,86.323
6.920000000000001,85.68
6.94,85.051
6.96,84.434
6.98,83.83
7,83.238
7.0200000000000005,82.657
7.04,82.088
7.06,81.529
7.08,80.98
7.1,80.442
7.120000000000001,84.954
7.140000000000001,96.188
7.16,106.115
7.180000000000001,113.736
7.2,118.461
7.220000000000001,119.84
7.24,117.723
7.26,112.244
7.28,105.346
7.3,103.742
7.320000000000001,102.204
7.34,100.603
7.359999999999999,99.178
7.380000000000001,98.026
7.4,97.081
7.420000000000001,96.225
7.44,95.373
7.46,94.505
7.48,93.639
7.5,92.799
7.5200000000000005,91.995
7.54,91.222
7.56,90.472
7.58,89.737
7.6,89.017
7.620000000000001,88.312
7.640000000000001,87.623
7.66,86.951
7.680000000000001,86.294
7.7,85.652
7.720000000000001,85.023
7.74,84.407
7.76,83.803
7.78,83.211
7.8,82.631
7.820000000000001,82.062
7.84,81.503
7.859999999999999,80.955
7.880000000000001,80.416
7.9,85.375
7.920000000000001,96.61
7.94,106.459
7.96,113.979
7.98,118.579
8,119.823
8.020000000000001,117.571
8.040000000000001,111.966
8.06,105.255
8.08,103.686
8.1,102.141
8.120000000000001,100.543
8.14,99.128
8.16,97.985
8.18,97.046
8.2,96.191
8.22,95.339
8.24,94.47
8.26,93.605
8.280000000000001,92.766
8.3,91.963
8.32,91.191
8.34,90.441
8.36,89.708
8.38,88.988
8.4,88.283
8.42,87.595
8.44,86.923
8.459999999999999,86.267
8.48,85.625
8.5,84.997
8.520000000000001,84.381
8.540000000000001,83.777
8.56,83.186
8.58,82.606
8.6,82.037
8.620000000000001,81.479
8.64,80.931
8.66,80.393
8.68,85.796
8.7,97.029
8.72,106.799
8.74,114.216
8.76,118.693
8.780000000000001,119.801
8.8,117.415
8.82,111.684
8.84,105.161
8.86,103.627
8.88,102.075
8.9,100.481
8.92,99.076
8.94,97.943
8.959999999999999,97.01
8.98,96.156
9,95.302
9.020000000000001,94.433
9.040000000000001,93.569
9.06,92.731
9.08,91.93
9.1,91.159
9.120000000000001,90.41
9.14,89.676
9.16,88.957
9.18,88.253
9.2,87.565
9.22,86.894
9.24,86.239
9.26,85.597
9.280000000000001,84.969
9.3,84.354
9.32,83.751
9.34,83.16
9.36,82.58
9.38,82.012
9.4,81.454
9.42,80.907
9.44,80.369
9.459999999999999,86.232
9.48,97.447
9.5,107.137
9.520000000000001,114.45
9.540000000000001,118.801
9.56,119.773
9.58,117.252
9.6,111.397
9.620000000000001,105.082
9.64,103.57
9.66,102.013
9.68,100.422
9.7,99.027
9.72,97.904
9.74,96.976
9.76,96.123
9.780000000000001,95.268
9.8,94.399
9.82,93.535
9.84,92.699
9.86,91.899
9.88,91.129
9.9,90.38
9.92,89.647
9.94,88.929
9.959999999999999,88.225
9.98,87.538
10,86.867
10.020000000000001,86.212
10.040000000000001,85.571
10.06,84.944
10.08,84.329
10.1,83.726
10.120000000000001,83.136
10.14,82.557
10.16,81.989
10.18,81.431
10.2,80.884
10.22,80.347
10.24,86.665
10.26,97.861
10.280000000000001,107.47
10.3,114.678
10.32,118.904
10.34,119.74
10.36,117.085
10.38,111.105
10.4,105.005
10.42,103.512
10.44,101.949
10.459999999999999,100.362
10.48,98.977
10.5,97.864
10.520000000000001,96.941
10.540000000000001,96.089
10.56,95.234
10.58,94.364
10.6,93.501
10.620000000000001,92.666
10.64,91.867
10.66,91.098
10.68,90.35
10.7,89.618
10.72,88.9
10.74,88.197
10.76,87.51
10.780000000000001,86.84
10.8,86.186
10.82,85.545
10.84,84.918
10.86,84.304
10.88,83.702
10.9,83.111
10.92,82.533
10.94,81.965
10.959999999999999,81.408
10.98,80.861
11,80.324
11.02,87.103
11.040000000000001,98.273
11.06,107.8
11.08,114.902
11.1,119.002
11.12,119.701
11.140000000000002,116.912
11.16,110.809
11.18,104.93
11.2,103.453
11.219999999999999,101.884
11.240000000000002,100.302
11.260000000000002,98.927
11.280000000000001,97.823
11.3,96.905
11.32,96.054
11.340000000000002,95.198
11.360000000000001,94.329
11.38,93.466
11.4,92.633
11.42,91.835
11.440000000000001,91.067
11.46,90.32
11.48,89.588
11.5,88.87
11.52,88.168
11.540000000000001,87.482
11.56,86.813
11.58,86.159
11.6,85.519
11.62,84.892
11.640000000000002,84.278
11.66,83.676
11.68,83.087
11.7,82.509
11.719999999999999,81.941
11.740000000000002,81.385
11.760000000000002,80.838
11.780000000000001,80.302
11.8,87.545
11.82,98.683
11.840000000000002,108.126
11.860000000000001,115.122
11.88,119.094
11.9,119.657
11.92,116.735
11.940000000000001,110.508
11.96,104.864
11.98,103.396
12,101.822
12.02,100.244
12.040000000000001,98.88
12.06,97.786
12.08,96.872
12.1,96.021
12.12,95.165
12.140000000000002,94.295
12.16,93.433
12.18,92.601
12.2,91.804
12.219999999999999,91.037
12.240000000000002,90.291
12.260000000000002,89.559
12.280000000000001,88.842
12.3,88.141
12.32,87.455
12.340000000000002,86.787
12.360000000000001,86.133
12.38,85.494
12.4,84.868
12.42,84.254
12.440000000000001,83.653
12.46,83.064
12.48,82.486
